0:0:1	0.5934	1	0	0	0	0.2024	0.1901	3e-06	0.2009
2:0:2	0.595	1	0	0	0	0.2712	0.2173	5e-06	0.1064
0:1:3	0.6814	1	0	0	0	0.2406	0.2003	5e-06	0.2404
3:0:1	0.6972	1	0	0	0	0.176	0.3812	6e-06	0.1398
0:1:2	0.7295	1	0	0	0	0.203	0.3269	8e-06	0.1996
3:2:3	0.7709	1	0	0	0	0.2293	0.2545	6e-06	0.287
3:7:7	0.5202	0	2	0	0	0.1681	0.3521	6e-06	2e-06
3:2:14	0.9639	1	0	0	0	0.3304	0.2642	6e-06	0.3694
3:2:16	0.7835	0	0	0	0	0.7835	0	0	0
3:2:18	0.8229	1	0	0	0	0.412	0.4108	4e-06	1e-06
3:6:7	0.7701	1	0	0	0	0.1785	0.2047	6e-06	0.3869
3:7:8	1.142	1	0	0	0	0.2848	0.3666	7e-06	0.4904
3:2:12	1.81	1	0	1	0	0.2341	0.2336	6e-06	1.342
4:0:1	0.7255	1	0	1	0	0.1346	0.1346	4e-06	0.4563
3:2:2	2.324	1	3	1	1	0.2103	0.6581	1.9e-05	1.456
3:13:13	1.886	0	3	0	1	0.486	1.399	8e-06	0.000715
3:8:8	2.175	0	1	0	1	0.1372	0.3659	3e-06	1.672
3:16:16	1.528	0	2	0	1	0.4718	1.055	7e-06	0.000736
3:13:19	1.744	1	0	0	0	0.4353	0.4528	6e-06	0.8561
12:1:16	0.5429	1	0	0	0	0.1933	0.3495	7e-06	1e-06
8:0:1	1.215	1	0	1	0	0.03412	0.05019	4e-06	1.131
12:1:21	0.6645	1	0	0	0	0.2105	0.2407	6e-06	0.2132
3:10:11	2.898	1	0	1	0	0.3089	0.2819	5e-06	2.307
14:4:5	0.62	1	0	0	0	0.1867	0.2187	4e-06	0.2146
14:3:61	0.9034	1	0	0	0	0.4623	0.4411	4e-06	1e-06
14:10:12	0.5081	1	0	0	0	0.1104	0.1136	3e-06	0.2842
14:10:10	0.7376	2	3	0	0	0.1089	0.6287	1.3e-05	5e-06
14:11:13	0.6892	1	0	1	0	0.05245	0.07154	3e-06	0.5652
3:13:16	3.588	1	0	0	0	0.7699	1.036	6e-06	1.783
14:3:62	1.579	1	0	0	0	0.4463	0.4259	5e-06	0.7067
14:9:10	1.229	1	0	0	0	0.2364	0.2952	6e-06	0.6971
14:45:46	0.5097	1	0	0	0	0.1273	0.1436	5e-06	0.2388
14:21:152	0.6834	1	0	0	0	0.08287	0.4829	4e-06	0.1175
14:20:23	1.061	1	0	0	0	0.3692	0.2552	5e-06	0.4366
14:20:36	1.09	1	0	0	0	0.319	0.2692	5e-06	0.5013
14:54:57	0.5599	1	0	0	0	0.154	0.1749	5e-06	0.2309
14:58:146	0.5364	1	0	0	0	0.1507	0.1688	3e-06	0.2168
14:63:63	0.5542	0	1	0	0	0.2434	0.3108	0.04463	0
14:47:48	1.355	1	0	1	0	0.05868	0.08763	5e-06	1.209
14:61:202	0.8408	1	0	0	0	0.4293	0.4115	5e-06	1e-06
14:47:49	1.443	1	0	1	0	0.06097	0.09199	3e-06	1.29
14:65:69	0.5009	0	0	0	0	0.5009	0	0	0
14:61:61	1.082	1	2	0	1	0.1946	0.8869	1.1e-05	0.000713
14:65:68	0.7467	0	0	0	0	0.7467	0	0	0
14:65:67	0.9112	1	0	0	0	0.4703	0.4409	3e-06	0
14:78:79	0.6301	1	0	0	0	0.1704	0.205	5e-06	0.2547
14:68:68	1.238	1	1	0	0	0.3362	0.9016	8e-06	1e-06
14:64:65	1.845	1	0	0	0	0.4938	0.4639	4e-06	0.8868
14:100:100	0.8197	0	1	0	0	0.3891	0.4306	2e-06	0
14:102:311	0.5478	1	0	0	0	0.2838	0.264	8e-06	1e-06
14:75:375	1.517	1	0	0	0	0.3706	0.469	4e-06	0.677
14:101:102	0.9295	1	0	0	0	0.4511	0.4783	4e-06	1e-06
14:70:76	1.938	1	0	1	0	0.1558	0.1637	5e-06	1.619
14:75:75	1.986	1	1	0	1	0.2342	1.145	8e-06	0.6067
14:109:109	0.6886	0	2	0	2	0.2175	0.4696	6e-06	0.001502
14:110:126	0.5279	0	0	0	0	0.5279	0	0	0
14:110:124	0.6017	1	0	0	0	0.34	0.1025	5e-06	0.1592
14:108:114	0.8808	1	0	0	0	0.2266	0.2509	5e-06	0.4033
14:102:310	1.7	1	0	1	0	0.1717	0.152	5e-06	1.376
14:100:101	2.686	1	0	0	0	0.7115	0.6799	5e-06	1.294
14:110:132	0.6722	1	0	0	0	0.3337	0.3384	5e-06	1e-06
14:104:105	2.17	1	0	1	0	0.1275	0.168	4e-06	1.875
14:111:111	0.8544	0	1	0	1	0.2736	0.5799	0.08299	0.000774
14:113:113	0.5316	0	1	0	0	0.223	0.3085	2e-06	0
14:65:65	4.44	2	2	0	2	0.485	2.55	1.8e-05	1.405
14:116:117	0.536	0	0	0	0	0.5359	0	0	0
14:104:109	2.71	1	0	1	0	0.3276	0.3715	5e-06	2.011
14:108:110	2.74	1	0	1	0	0.4665	0.1808	4e-06	2.092
14:111:118	1.698	1	0	1	0	0.274	0.3696	3e-06	1.055
14:126:128	0.5302	1	0	0	0	0.2602	0.27	4e-06	1e-06
14:126:129	0.6336	1	0	0	0	0.3121	0.3214	4e-06	1e-06
14:123:123	0.8568	1	2	0	1	0.1795	0.6766	1.2e-05	0.000709
14:111:116	2.2	1	0	0	0	0.5541	0.6326	5e-06	1.014
14:126:126	1.222	1	2	0	1	0.2571	0.9637	1.4e-05	0.000714
14:138:139	0.505	0	0	0	0	0.505	0	0	0
