V11	V8	n
12552	BAP1	2
12553	BAP1	2
12554	BAP1	2
12555	BAP1	2
12556	BAP1	2
12557	BAP1	1
12558	BAP1	3
12559	BAP1	2
12560	BAP1	3
12561	BAP1	2
12564	APC	1
12565	APC	2
12566	APC	3
12567	APC	3
12568	APC	2
12569	APC	3
12570	APC	1
12571	APC	2
12572	APC	1
12573	APC	2
12574	APC	1
12575	APC	2
12576	APC	1
12577	APC	2
12578	APC	1
12579	APC	2
12580	PMS2	2
12581	PMS2	1
12582	PMS2	1
12583	PMS2	2
12584	PMS2	1
12585	PMS2	2
12587	PMS2	2
12588	PMS2	1
12589	PMS2	1
12590	PMS2	1
12591	NBN	2
12592	NBN	1
12593	NBN	2
12594	NBN	1
12595	NBN	1
12596	NBN	2
12597	NBN	1
12598	NBN	1
12599	NBN	2
12600	NBN	1
12601	NBN	2
12602	NBN	1
12603	NBN	3
12604	NBN	3
12605	NBN	2
12606	NBN	1
12607	CDKN2A	1
12610	CDKN2A	1
12613	BMPR1A	1
12614	BMPR1A	3
12615	BMPR1A	1
12617	BMPR1A	1
12618	BMPR1A	3
12619	BMPR1A	1
12620	BMPR1A	1
12621	BMPR1A	2
12622	BMPR1A	1
12623	BMPR1A	3
12624	PTEN	1
12625	PTEN	3
12626	PTEN	1
12627	PTEN	1
12628	PTEN	2
12629	PTEN	2
12630	PTEN	1
12631	PTEN	3
12632	PTEN	1
12633	ATM	1
12634	ATM	1
12635	ATM	1
12636	ATM	1
12637	ATM	1
12638	ATM	1
12639	ATM	1
12640	ATM	2
12641	ATM	1
12642	ATM	3
12643	ATM	3
12644	ATM	3
12645	ATM	2
12646	ATM	2
12647	ATM	1
12648	ATM	1
12650	ATM	1
12651	ATM	1
12652	ATM	2
12653	ATM	2
12654	ATM	2
12655	ATM	2
12656	ATM	2
12657	ATM	3
12658	ATM	1
12659	ATM	1
12660	ATM	2
12661	ATM	3
12662	ATM	1
12663	ATM	3
12664	ATM	2
12666	ATM	3
12667	ATM	2
12668	ATM	1
12669	ATM	1
12670	ATM	2
12671	ATM	1
12672	ATM	2
12673	ATM	1
12674	ATM	1
12675	ATM	2
12676	ATM	1
12677	ATM	2
12678	ATM	3
12679	ATM	2
12681	ATM	2
12684	ATM	2
12685	ATM	3
12686	ATM	3
12687	ATM	1
12688	ATM	2
12689	ATM	3
12690	ATM	2
12691	ATM	2
12692	ATM	2
12693	ATM	2
12694	ATM	1
12695	ATM	2
12696	CDK4	1
12698	CDK4	1
12699	CDK4	2
12700	CDK4	1
12701	CDK4	1
12702	CDK4	1
12703	CDK4	1
12706	BRCA2	1
12707	BRCA2	1
12709	BRCA2	1
12710	BRCA2	1
12711	BRCA2	1
12712	BRCA2	2
12713	BRCA2	2
12714	BRCA2	3
12715	BRCA2	2
12716	BRCA2	2
12717	BRCA2	2
12718	BRCA2	2
12719	BRCA2	1
12720	BRCA2	3
12721	BRCA2	3
12722	BRCA2	2
12723	BRCA2	2
12724	BRCA2	1
12725	BRCA2	1
12726	BRCA2	1
12728	BRCA2	3
12729	BRCA2	1
12730	BRCA2	3
12733	PALB2	1
12734	PALB2	1
12735	PALB2	1
12736	PALB2	1
12737	PALB2	2
12738	PALB2	1
12740	PALB2	2
12741	PALB2	1
12742	PALB2	1
12743	PALB2	1
12744	CDH1	1
12745	CDH1	1
12747	CDH1	3
12749	CDH1	3
12750	CDH1	1
12752	CDH1	2
12755	CDH1	1
12756	CDH1	1
12757	CDH1	1
12758	CDH1	2
12759	CDH1	1
12760	TP53	2
12762	TP53	2
12763	TP53	1
12764	TP53	3
12765	TP53	3
12766	TP53	2
12768	TP53	1
12770	TP53	2
12771	RAD51D	1
12774	RAD51D	2
12775	RAD51D	1
12777	RAD51D	1
12778	RAD51D	1
12779	RAD51D	3
12780	RAD51D	2
12781	BRCA1	1
12783	BRCA1	1
12785	BRCA1	1
12786	BRCA1	1
12787	BRCA1	2
12788	BRCA1	2
12789	BRCA1	1
12790	BRCA1	2
12791	BRCA1	2
12792	BRCA1	3
12793	BRCA1	3
12794	BRCA1	2
12795	BRCA1	1
12797	BRCA1	1
12798	BRCA1	1
12799	BRCA1	1
12800	BRCA1	1
12801	BRCA1	1
12802	BRCA1	1
12803	BRCA1	1
12804	RAD51C	1
12805	RAD51C	1
12806	RAD51C	1
12807	RAD51C	1
12808	RAD51C	1
12810	RAD51C	3
12811	RAD51C	1
12812	RAD51C	1
12813	BRIP1	3
12814	BRIP1	3
12815	BRIP1	2
12816	BRIP1	1
12817	BRIP1	2
12818	BRIP1	2
12819	BRIP1	1
12820	BRIP1	2
12821	BRIP1	2
12822	BRIP1	3
12823	BRIP1	3
12824	BRIP1	1
12825	BRIP1	2
12826	BRIP1	2
12827	BRIP1	2
12828	BRIP1	2
12829	BRIP1	2
12830	BRIP1	2
12831	BRIP1	1
12833	SMAD4	2
12834	SMAD4	2
12835	SMAD4	1
12836	SMAD4	1
12837	SMAD4	3
12838	SMAD4	2
12839	SMAD4	3
12840	SMAD4	1
12841	SMAD4	1
12842	SMAD4	1
12843	SMAD4	1
12844	SMAD4	3
12845	STK11	1
12846	STK11	2
12847	STK11	3
12848	STK11	2
12849	STK11	1
